Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher,state_name,county_name
3970,178,6418,1076,5976,1062,12384,2041,7259,1154, Tennessee,Bedford
1189,26,1470,209,1729,283,4754,468,3849,488, Tennessee,Benton
972,89,1927,107,2076,290,4373,557,2656,372, Tennessee,Bledsoe
10399,619,14976,3693,15226,4404,36822,8609,25971,5776, Tennessee,Blount
10369,637,13116,3404,13349,3461,27775,5971,17786,3245, Tennessee,Bradley
2909,111,4613,650,4739,653,11183,1470,8130,773, Tennessee,Campbell
1020,71,1865,215,1629,316,4043,755,2602,316, Tennessee,Cannon
2643,104,3192,791,2843,740,7696,1311,5555,634, Tennessee,Carroll
3906,370,7027,1664,6464,1132,16526,2860,11952,1698, Tennessee,Carter
3042,166,5205,1452,5150,1429,12011,2236,5865,813, Tennessee,Cheatham
2224,153,1954,404,1915,463,4316,614,2906,289, Tennessee,Chester
2987,422,3991,1076,3655,682,8924,1253,6152,650, Tennessee,Claiborne
516,0,717,170,822,137,2232,251,1817,219, Tennessee,Clay
2468,80,3939,639,3960,407,10462,1163,7413,771, Tennessee,Cocke
4368,243,6874,1298,6585,1461,14673,3099,9478,1841, Tennessee,Coffee
1130,63,1688,131,1700,295,3755,615,2682,319, Tennessee,Crockett
3764,112,5901,964,5410,541,15728,2721,17899,4073, Tennessee,Cumberland
68120,13188,137515,72372,94027,40836,160613,57641,82207,26968, Tennessee,Davidson
803,93,1076,240,1317,174,3247,528,2739,277, Tennessee,Decatur
1395,92,2469,274,2426,555,5631,1037,3594,494, Tennessee,DeKalb
3948,127,6919,1245,6586,1151,14716,2421,8178,1073, Tennessee,Dickson
2955,136,4476,545,4622,854,9980,1586,6431,1124, Tennessee,Dyer
2781,278,4463,941,4580,1051,12141,2818,8331,1740, Tennessee,Fayette
1338,40,1872,325,1997,414,5322,809,3832,533, Tennessee,Fentress
4695,228,4548,847,4639,1015,11252,2325,8115,1763, Tennessee,Franklin
3929,289,5804,1321,6020,1462,12884,2422,8710,948, Tennessee,Gibson
2439,148,3275,600,3054,482,8594,1561,5810,781, Tennessee,Giles
1763,49,2345,315,2745,205,6889,837,4655,417, Tennessee,Grainger
5714,185,7264,1618,8301,1472,19623,3332,14567,1902, Tennessee,Greene
1042,42,1490,181,1567,171,3611,463,2740,425, Tennessee,Grundy
5296,501,7299,1117,7857,1338,17275,3351,11467,1571, Tennessee,Hamblen
31752,3440,51944,18501,44741,16691,95048,30106,62141,16394, Tennessee,Hamilton
455,0,736,24,762,81,1893,224,1352,204, Tennessee,Hancock
2399,40,3619,316,3294,283,6756,817,4552,623, Tennessee,Hardeman
1840,45,2645,501,2904,449,7240,1053,5771,782, Tennessee,Hardin
4200,319,6217,892,6474,1088,16624,1963,11635,1670, Tennessee,Hawkins
1428,40,1999,161,2058,187,4987,508,3152,490, Tennessee,Haywood
2140,128,3186,600,3435,424,7809,1227,5019,544, Tennessee,Henderson
2209,70,3331,588,3608,756,9092,1391,7349,1123, Tennessee,Henry
2089,49,3191,273,3116,466,6981,819,4175,346, Tennessee,Hickman
654,42,906,148,890,105,2250,263,1708,232, Tennessee,Houston
1514,53,2026,272,2233,448,5226,631,3556,510, Tennessee,Humphreys
872,32,1206,176,1366,87,3562,471,2565,227, Tennessee,Jackson
4977,309,5907,957,6040,1022,15509,2660,10538,1726, Tennessee,Jefferson
1265,41,2101,114,2276,276,5145,686,3972,487, Tennessee,Johnson
55266,7875,62600,26232,57586,24456,116986,42721,71194,22677, Tennessee,Knox
702,0,1159,103,1191,96,2144,150,1144,180, Tennessee,Lake
2261,64,3544,330,3535,363,6702,537,3971,235, Tennessee,Lauderdale
3295,121,5222,983,4873,723,11447,1584,7652,885, Tennessee,Lawrence
928,64,1333,101,1385,200,3282,317,2471,264, Tennessee,Lewis
2562,113,3598,488,4071,834,9704,2082,6402,968, Tennessee,Lincoln
3753,116,5181,900,5230,1099,14358,3811,13522,4316, Tennessee,Loudon
4291,105,6213,1342,6279,1137,14746,2161,10276,1441, Tennessee,McMinn
1979,93,2896,474,2935,376,7024,1011,5330,436, Tennessee,McNairy
2015,64,3149,253,2661,385,6490,625,3732,395, Tennessee,Macon
10530,667,12086,3157,11254,3183,25722,6458,16005,3880, Tennessee,Madison
2153,91,3323,345,3301,547,8145,997,5579,713, Tennessee,Marion
2437,111,4263,549,4283,588,8998,1396,5183,801, Tennessee,Marshall
6834,464,12400,3564,11954,3316,24956,5109,14285,2667, Tennessee,Maury
815,25,1232,128,1414,140,3532,246,2630,348, Tennessee,Meigs
3575,234,5086,673,5194,810,12768,1508,9520,1382, Tennessee,Monroe
22445,1947,38274,11475,26545,8150,40811,11167,18263,4480, Tennessee,Montgomery
504,9,531,118,867,312,1885,411,1307,200, Tennessee,Moore
1798,62,2881,211,2783,141,6149,778,3757,332, Tennessee,Morgan
2428,155,3275,643,3713,519,8265,1294,6024,805, Tennessee,Obion
1705,117,2376,301,2592,384,6110,782,4433,518, Tennessee,Overton
631,13,848,58,901,93,2190,302,1632,185, Tennessee,Perry
260,0,498,20,537,103,1488,110,1365,133, Tennessee,Pickett
1190,88,1738,184,1960,180,5141,704,3449,389, Tennessee,Polk
11172,720,9854,3010,8872,2710,18553,4791,12831,2740, Tennessee,Putnam
3016,133,3915,774,3651,524,8662,1306,5883,1141, Tennessee,Rhea
3918,223,5666,704,5670,1045,16015,3775,11793,2211, Tennessee,Roane
5421,388,9022,2270,9132,2078,19507,3687,10189,1353, Tennessee,Robertson
39305,4409,46617,16234,44589,16266,74926,23187,32205,8251, Tennessee,Rutherford
1700,34,2612,325,2876,204,5840,484,3633,363, Tennessee,Scott
1069,28,1777,303,1757,374,4238,497,2961,445, Tennessee,Sequatchie
7614,465,11880,1912,11349,2120,27642,4577,18688,3520, Tennessee,Sevier
88592,9174,137490,44833,117204,40033,235212,73763,122695,35022, Tennessee,Shelby
1533,87,2362,431,2261,475,5773,648,3230,411, Tennessee,Smith
950,118,1547,243,1475,353,3959,561,2632,342, Tennessee,Stewart
11995,794,17709,4338,17969,4799,45047,10526,33753,7367, Tennessee,Sullivan
14204,1617,22682,7167,24466,8115,49988,13927,28541,6078, Tennessee,Sumner
5211,331,7859,1432,7727,1808,16855,2672,8651,1183, Tennessee,Tipton
1105,76,2075,258,1288,150,2408,482,1425,103, Tennessee,Trousdale
1336,103,2096,404,1966,335,5200,614,4128,628, Tennessee,Unicoi
1410,79,2265,244,2347,336,5685,463,3536,327, Tennessee,Union
395,9,537,33,700,29,1748,86,1296,184, Tennessee,Van Buren
3184,231,4824,864,5209,859,10866,1674,6991,660, Tennessee,Warren
15549,1999,15996,6468,15027,5413,33781,10287,22820,5674, Tennessee,Washington
1292,82,2322,243,2194,208,4715,461,3120,290, Tennessee,Wayne
5537,252,3561,982,3579,990,8315,1650,6037,1012, Tennessee,Weakley
2039,87,3017,416,3076,528,7323,744,5374,623, Tennessee,White
17257,3623,20613,13181,32983,22773,64058,38149,28691,13463, Tennessee,Williamson
10288,1251,16005,6221,18813,7742,37977,11777,21075,4659, Tennessee,Wilson
4489,132,8971,405,9571,671,15253,1923,8278,1465, Texas,Anderson
1648,21,2714,227,2276,444,3900,391,1810,244, Texas,Andrews
7599,309,11258,1719,10603,1866,21567,3685,13847,2424, Texas,Angelina
1995,81,1947,310,2309,382,6911,1213,6711,2006, Texas,Aransas
685,70,888,236,1009,309,2538,608,1702,314, Texas,Archer
117,1,171,39,237,73,567,111,425,96, Texas,Armstrong
4479,105,6500,857,6131,1099,11701,1505,7099,1072, Texas,Atascosa
2397,138,3327,738,3289,957,8042,1681,5577,1463, Texas,Austin
770,0,862,163,870,248,1552,282,985,42, Texas,Bailey
1502,60,1732,288,2195,577,7104,1399,5873,1593, Texas,Bandera
7410,312,9595,1409,10339,2433,23309,4951,12303,2692, Texas,Bastrop
297,17,331,59,373,185,963,201,867,134, Texas,Baylor
3700,47,5503,321,4890,330,7711,731,3905,584, Texas,Bee
40297,2663,58728,13481,45076,12319,70922,18048,36793,9352, Texas,Bell
203048,15931,311189,88047,263608,81109,441254,122299,231377,57996, Texas,Bexar
730,65,896,116,1180,403,3700,900,2874,871, Texas,Blanco
16,0,77,32,51,20,123,49,167,64, Texas,Borden
1290,52,1769,288,1854,340,4979,867,4504,1100, Texas,Bosque
7977,227,12383,2369,12372,2439,23225,4883,15268,3350, Texas,Bowie
29658,2511,50615,16851,52834,18826,90206,25124,41745,9893, Texas,Brazoria
58557,7416,35773,16234,24525,10538,38495,14678,19786,7989, Texas,Brazos
652,101,1134,392,1192,459,2412,1010,2072,861, Texas,Brewster
172,25,123,20,180,19,373,56,372,112, Texas,Briscoe
1204,0,1003,43,741,114,1262,289,1041,189, Texas,Brooks
3402,156,4503,843,4246,824,9929,1906,7388,1418, Texas,Brown
1421,252,1961,316,2022,375,4950,831,3689,659, Texas,Burleson
3942,269,4453,809,5143,1157,12838,3244,10203,3077, Texas,Burnet
4697,182,5690,631,5194,703,10644,1532,5771,1129, Texas,Caldwell
1933,41,2709,327,2519,415,5383,687,3769,614, Texas,Calhoun
915,54,1550,199,1518,463,3923,759,2848,649, Texas,Callahan
44961,1391,51609,9029,51725,9548,88172,15925,55465,8285, Texas,Cameron
1033,57,1560,247,1309,357,3201,575,2378,457, Texas,Camp
415,28,782,191,705,279,1533,406,1098,295, Texas,Carson
2213,95,3009,460,3393,513,8073,1265,6586,1206, Texas,Cass
782,14,848,218,930,110,1719,269,1164,130, Texas,Castro
3604,222,5334,1625,5701,1359,10588,1975,4494,982, Texas,Chambers
4820,226,6110,869,6165,1172,12816,2088,8886,1706, Texas,Cherokee
789,0,1596,270,1083,256,1495,238,1004,181, Texas,Childress
718,30,1021,237,1162,204,3002,710,2373,464, Texas,Clay
225,0,429,10,369,7,628,83,455,51, Texas,Cochran
110,20,256,94,459,94,846,116,941,142, Texas,Coke
402,76,798,49,920,111,2370,417,2059,393, Texas,Coleman
79531,12705,124444,63509,155438,90687,254411,135728,104035,44229, Texas,Collin
259,10,276,72,382,76,804,146,504,104, Texas,Collingsworth
1895,191,1872,481,2381,557,5491,892,4594,1078, Texas,Colorado
10715,1007,15925,5475,17110,6478,40304,14949,25397,9463, Texas,Comal
939,81,1319,267,1523,298,3482,614,3247,766, Texas,Comanche
144,8,435,15,534,37,1005,150,652,140, Texas,Concho
3466,195,4770,645,4373,993,10613,2206,7269,1795, Texas,Cooke
10075,360,14588,2315,10860,1677,14924,2416,7404,1273, Texas,Coryell
62,0,221,4,99,14,406,107,341,54, Texas,Cottle
432,0,701,49,496,123,1051,165,654,90, Texas,Crane
268,0,478,16,428,47,943,93,521,176, Texas,Crockett
521,11,626,56,760,64,1301,244,1060,129, Texas,Crosby
151,0,325,13,203,58,570,64,327,11, Texas,Culberson
491,28,1214,339,641,52,1872,200,784,121, Texas,Dallam
249966,29643,428092,152078,359936,112372,608806,176563,272730,84512, Texas,Dallas
1399,3,1986,239,1530,215,2690,440,1878,257, Texas,Dawson
1871,38,2451,297,2233,275,3979,399,2336,347, Texas,Deaf Smith
424,10,493,127,539,221,1515,350,1056,207, Texas,Delta
77500,8922,124197,56949,128613,64290,212462,95175,82137,30455, Texas,Denton
1348,15,2387,338,2733,193,5322,822,3943,458, Texas,DeWitt
122,13,212,28,298,28,605,126,524,121, Texas,Dickens
901,0,1284,190,1416,230,2005,231,1763,226, Texas,Dimmit
480,0,266,39,357,38,795,129,776,186, Texas,Donley
1274,0,1305,84,1291,155,2520,190,1978,210, Texas,Duval
1965,100,1816,351,2064,241,4514,814,4091,591, Texas,Eastland
16704,923,26826,4635,20488,3480,32869,4489,15237,2083, Texas,Ector
169,0,218,0,165,45,496,88,586,133, Texas,Edwards
15477,798,22316,5018,22880,6398,44611,11054,21930,4723, Texas,Ellis
95880,5859,124591,31138,104109,30792,182428,42472,99552,14660, Texas,El Paso
8857,500,5384,1627,4104,1561,8870,3166,5875,1271, Texas,Erath
1391,44,2618,365,2007,227,4489,408,3095,519, Texas,Falls
2944,70,4353,641,4094,559,9430,1672,6398,1352, Texas,Fannin
1717,104,2673,474,2387,496,7020,1339,6187,1288, Texas,Fayette
309,20,404,117,386,61,1007,161,880,160, Texas,Fisher
477,7,645,101,740,80,1304,225,1081,194, Texas,Floyd
107,0,58,13,144,12,390,81,345,46, Texas,Foard
63514,7083,93615,42026,117048,63586,198202,90466,81346,30499, Texas,Fort Bend
837,59,1071,334,1097,291,2797,665,2324,648, Texas,Franklin
1313,176,2416,426,2534,407,5099,781,3866,512, Texas,Freestone
2680,85,3754,134,2483,269,3744,352,2468,152, Texas,Frio
1931,87,2892,350,2501,171,4106,470,1820,304, Texas,Gaines
28454,3027,44497,14208,43728,14677,88508,27797,46434,12755, Texas,Galveston
599,58,916,87,1085,71,1674,294,834,174, Texas,Garza
1802,152,2120,550,2628,530,6821,2282,7758,2867, Texas,Gillespie
280,69,184,54,227,90,327,73,149,24, Texas,Glasscock
612,19,662,102,792,123,2197,357,1664,336, Texas,Goliad
1749,38,2515,207,2311,381,5157,642,3393,518, Texas,Gonzales
1881,48,2932,384,3032,470,5284,608,3546,596, Texas,Gray
11603,506,15486,3050,15503,2760,34379,7093,22943,5145, Texas,Grayson
11687,690,17021,3064,14763,2719,29420,6766,18617,4459, Texas,Gregg
2489,30,3275,346,3540,510,7630,1093,4741,1070, Texas,Grimes
14144,878,20414,5157,22415,6984,39990,12423,21670,4887, Texas,Guadalupe
3734,124,4637,777,4022,777,7743,1330,4482,694, Texas,Hale
290,4,288,5,276,16,835,172,681,138, Texas,Hall
678,6,886,173,837,270,2158,391,2042,495, Texas,Hamilton
503,43,601,75,582,40,1339,286,851,110, Texas,Hansford
360,14,458,38,395,70,1067,135,845,135, Texas,Hardeman
4456,241,7048,1312,7209,1873,14671,1985,9352,1276, Texas,Hardin
436781,43811,752050,254491,663855,214224,1075904,319889,472148,143565, Texas,Harris
5799,464,7736,1711,8204,1519,16976,3096,10965,2048, Texas,Harrison
178,74,1064,141,1063,124,1294,259,852,238, Texas,Hartley
666,19,586,30,723,109,1437,177,1262,160, Texas,Haskell
36139,2470,29894,10577,28392,11216,46754,16883,22818,8947, Texas,Hays
305,0,272,54,666,141,963,142,527,178, Texas,Hemphill
6365,240,8871,1253,8691,1348,21861,3922,17818,3403, Texas,Henderson
94178,5336,114220,23353,109246,21709,163066,31996,92728,12594, Texas,Hidalgo
2953,74,3895,693,3800,685,9388,1437,7332,1424, Texas,Hill
2642,172,3118,443,2672,544,5314,852,3288,438, Texas,Hockley
3958,313,6114,1425,5650,1123,15909,4254,14397,4307, Texas,Hood
2899,161,4453,1021,4243,861,9135,1833,6666,1202, Texas,Hopkins
1811,113,2211,292,3084,308,6457,971,4893,964, Texas,Houston
3622,46,5524,623,5308,544,9179,1231,4680,719, Texas,Howard
396,0,704,63,557,99,1000,104,675,48, Texas,Hudspeth
9560,777,11442,2536,11007,2076,24741,4661,14886,3083, Texas,Hunt
1881,80,2488,405,2587,498,5432,717,3470,339, Texas,Hutchinson
156,0,161,0,145,27,460,79,273,50, Texas,Irion
909,0,1212,118,1172,172,2172,341,1510,186, Texas,Jack
1181,127,1703,237,1971,510,3611,504,2577,381, Texas,Jackson
2898,23,4010,367,3830,499,9323,1209,6875,1031, Texas,Jasper
167,10,77,6,220,12,638,183,763,317, Texas,Jeff Davis
24384,1739,37337,7901,32481,6237,63078,11290,36138,7788, Texas,Jefferson
521,0,510,21,605,64,1178,242,744,81, Texas,Jim Hogg
3809,68,5397,777,4977,548,9213,1099,6113,707, Texas,Jim Wells
14542,904,21157,3809,21701,4604,43100,7346,23146,4672, Texas,Johnson
1751,98,3613,333,3126,329,4935,591,3036,471, Texas,Jones
1615,90,2834,305,2139,309,3540,548,2180,478, Texas,Karnes
10040,936,16549,3607,17336,4333,30959,5735,14585,2630, Texas,Kaufman
3503,243,4116,1262,5605,2389,11920,5517,8269,3422, Texas,Kendall
18,0,84,1,36,0,118,2,144,1, Texas,Kenedy
16,0,24,7,105,52,161,40,182,21, Texas,Kent
4234,262,5522,1290,4853,1087,13208,3214,14024,4698, Texas,Kerr
227,7,316,98,425,44,1206,251,1267,329, Texas,Kimble
9,2,27,18,16,7,90,4,25,4, Texas,King
232,8,526,0,382,31,1145,230,904,98, Texas,Kinney
6268,880,4337,1262,3258,764,5558,1335,4030,867, Texas,Kleberg
319,0,355,50,382,78,982,203,679,151, Texas,Knox
3965,229,6072,991,5618,1107,12748,2501,9383,1720, Texas,Lamar
1128,6,1520,233,1518,183,3122,486,2169,294, Texas,Lamb
1530,71,2130,365,2619,290,6037,1317,3914,953, Texas,Lampasas
685,21,1332,171,983,30,1655,191,1263,0, Texas,La Salle
1494,30,2078,360,2024,418,5018,849,4662,668, Texas,Lavaca
1682,59,1758,313,2125,431,4495,515,3214,437, Texas,Lee
1359,31,1610,186,1881,197,4303,555,4175,743, Texas,Leon
7584,327,11962,1163,10568,964,20861,1896,10873,1256, Texas,Liberty
1942,39,2959,358,2858,349,5995,717,4389,978, Texas,Limestone
261,27,576,108,326,68,752,125,581,139, Texas,Lipscomb
1040,4,1695,126,1475,150,3040,374,2462,407, Texas,Live Oak
1046,16,1918,245,1421,217,5846,1353,7656,2443, Texas,Llano
2,0,9,0,12,0,25,0,25,0, Texas,Loving
51695,5790,44823,14896,35488,12105,62628,17005,37113,10240, Texas,Lubbock
445,42,697,114,723,192,1400,219,987,132, Texas,Lynn
590,17,879,124,778,157,2235,301,1759,395, Texas,McCulloch
36707,3161,32513,7718,28571,7401,55676,13019,35502,8783, Texas,McLennan
54,3,89,8,123,65,142,29,142,41, Texas,McMullen
1409,51,2610,307,1823,155,3158,568,2155,405, Texas,Madison
642,31,918,82,1011,248,3058,428,2592,357, Texas,Marion
573,54,618,142,542,191,1478,149,683,126, Texas,Martin
327,22,233,102,474,172,1135,203,1021,314, Texas,Mason
3179,92,4403,1094,4088,505,9603,1400,6008,1204, Texas,Matagorda
7008,483,7694,1532,6849,959,11593,1315,6704,363, Texas,Maverick
4844,275,6199,1123,5696,1210,13450,2874,8271,1464, Texas,Medina
90,10,282,18,197,38,618,124,666,138, Texas,Menard
15321,1062,29915,8395,22247,6107,35721,9066,17255,5217, Texas,Midland
2038,124,2756,333,2357,230,6530,982,5038,805, Texas,Milam
377,2,357,45,423,40,1291,270,1504,298, Texas,Mills
1261,43,1442,139,1057,156,1759,178,1316,158, Texas,Mitchell
1390,57,1979,292,1970,258,5323,1104,4360,653, Texas,Montague
47246,4416,72685,23744,78591,29668,148746,54170,73352,21346, Texas,Montgomery
2185,91,2831,330,2879,444,4477,659,2283,346, Texas,Moore
931,0,1273,180,1489,157,3181,534,2657,362, Texas,Morris
53,0,206,29,68,2,213,41,393,76, Texas,Motley
12531,791,7675,1740,6596,1626,14076,3448,9286,2415, Texas,Nacogdoches
4174,144,5703,607,5718,841,12316,2044,8229,1594, Texas,Navarro
1290,0,1571,40,1473,287,3976,349,2800,280, Texas,Newton
1533,68,1532,181,1751,261,3586,616,2630,385, Texas,Nolan
36442,1937,52471,11741,45621,9801,86585,18652,50883,11251, Texas,Nueces
907,45,1390,195,1282,228,2335,342,1064,184, Texas,Ochiltree
127,1,196,41,284,43,474,111,309,83, Texas,Oldham
7080,260,10760,1854,10192,1885,22077,3121,13110,1848, Texas,Orange
2405,152,3323,431,3081,472,7497,1097,5548,1223, Texas,Palo Pinto
2082,44,2719,354,2910,548,5756,1085,4356,555, Texas,Panola
10881,953,15353,3582,16765,5227,37158,10278,20511,4623, Texas,Parker
879,22,1376,202,1118,215,2183,431,1312,222, Texas,Parmer
1383,89,2396,202,2238,181,3898,419,2012,235, Texas,Pecos
3798,172,5751,565,5631,664,14780,1789,9040,1600, Texas,Polk
11028,558,17978,2361,15669,2262,27484,4129,14583,2523, Texas,Potter
755,1,464,120,774,243,1490,292,1683,279, Texas,Presidio
738,7,1148,163,1297,208,3396,404,2893,424, Texas,Rains
13399,1287,19434,5926,17419,6170,31878,9699,19659,6864, Texas,Randall
360,11,616,92,500,30,751,58,308,48, Texas,Reagan
274,7,322,21,164,15,796,176,975,180, Texas,Real
809,31,1239,116,1488,313,3219,323,2975,360, Texas,Red River
1557,22,2549,280,2541,461,3449,378,1961,172, Texas,Reeves
672,0,708,92,716,75,1847,171,1546,217, Texas,Refugio
28,2,82,30,88,17,184,35,206,58, Texas,Roberts
1350,8,1821,278,1853,247,4696,783,3229,562, Texas,Robertson
7698,847,10964,4394,14621,7018,25746,10178,11754,4078, Texas,Rockwall
819,33,1117,159,1111,256,2713,528,2121,338, Texas,Runnels
4763,106,7168,784,7103,1251,13742,1930,8830,1735, Texas,Rusk
580,11,953,55,865,145,2918,450,3192,744, Texas,Sabine
548,0,716,112,795,170,2401,138,2184,433, Texas,San Augustine
1989,57,2852,422,3062,223,7812,668,6227,931, Texas,San Jacinto
6042,193,8940,1049,8450,1611,15684,2477,9790,1544, Texas,San Patricio
540,38,713,28,670,78,1442,207,1382,281, Texas,San Saba
226,93,432,24,313,45,663,131,560,126, Texas,Schleicher
1656,30,2263,333,2332,326,3968,634,2578,516, Texas,Scurry
285,0,359,100,311,174,937,193,632,216, Texas,Shackelford
2461,60,2733,303,2806,299,6291,1071,4405,568, Texas,Shelby
293,11,316,42,440,71,912,147,408,52, Texas,Sherman
22522,1356,31037,7590,26815,6431,54219,14587,36844,10738, Texas,Smith
616,15,1133,155,1097,364,2393,733,1624,398, Texas,Somervell
7327,464,8488,1125,7570,990,12343,1080,7196,320, Texas,Starr
956,40,1059,137,1069,142,2336,418,1825,324, Texas,Stephens
32,0,118,17,122,12,379,32,156,13, Texas,Sterling
90,11,100,44,119,19,469,41,300,42, Texas,Stonewall
255,0,506,92,475,127,888,108,691,111, Texas,Sutton
545,16,1131,127,992,103,1524,339,1365,197, Texas,Swisher
192114,19205,305953,99741,280809,95924,501512,161052,225738,67350, Texas,Tarrant
19470,1571,20032,4577,15327,4051,28677,7413,19482,5043, Texas,Taylor
7,0,69,15,125,41,267,17,293,66, Texas,Terrell
1088,12,1844,146,1436,164,2821,367,1889,233, Texas,Terry
116,4,146,28,112,39,430,106,402,64, Texas,Throckmorton
3303,32,3958,533,3812,593,7573,1174,4561,953, Texas,Titus
14369,1165,18355,4466,13233,3476,26156,6294,17837,4245, Texas,Tom Green
113800,19267,246918,131831,195045,99848,284584,136825,116483,52856, Texas,Travis
1041,7,1316,158,1366,157,4076,477,3833,572, Texas,Trinity
2240,55,2804,410,2234,304,5435,594,4643,718, Texas,Tyler
3307,373,4401,702,4813,849,11333,1733,7350,1484, Texas,Upshur
271,0,336,42,517,35,966,87,611,70, Texas,Upton
2883,86,3535,711,3021,569,5690,1013,4494,703, Texas,Uvalde
5523,600,7093,1835,5742,1232,9739,1611,6928,747, Texas,Val Verde
4178,201,5846,626,6217,963,15041,2432,11048,1988, Texas,Van Zandt
8373,272,12770,2732,11211,2435,21704,4104,14567,2762, Texas,Victoria
14923,1049,10054,2272,9620,1341,17736,3464,9187,2624, Texas,Walker
10721,249,6033,1133,5339,1380,11195,2195,6013,1326, Texas,Waller
1067,53,1619,289,1584,153,2560,209,1606,267, Texas,Ward
3974,174,3436,913,3740,945,8936,2230,7376,2196, Texas,Washington
31289,1400,36837,6995,35414,8244,53932,10030,25141,3381, Texas,Webb
3785,71,5099,752,4710,891,10262,1883,6919,1335, Texas,Wharton
345,10,730,153,576,119,1294,159,1024,179, Texas,Wheeler
17865,972,19714,4296,15113,3916,30431,6995,19043,4248, Texas,Wichita
1101,47,1832,257,1335,198,3321,521,2368,370, Texas,Wilbarger
3098,0,3241,232,2736,258,4365,384,2954,304, Texas,Willacy
43203,4933,76589,29922,89374,41322,131375,53437,64740,24913, Texas,Williamson
4038,357,5559,1098,6016,1536,13954,3199,7557,1364, Texas,Wilson
903,39,916,14,1040,100,1750,197,906,69, Texas,Winkler
5377,177,8134,1291,8100,1866,18367,3232,9851,1614, Texas,Wise
3497,101,4187,462,4317,521,11892,2029,11858,2354, Texas,Wood
907,0,1108,152,1058,212,1716,152,991,103, Texas,Yoakum
1187,56,2126,393,2022,418,4644,1017,3681,574, Texas,Young
1466,21,1757,143,1726,312,2584,173,1975,305, Texas,Zapata
1390,193,1466,186,1535,263,2427,163,1665,158, Texas,Zavala
550,0,727,83,788,257,1391,211,923,256, Utah,Beaver
4877,131,6590,1350,7072,2124,11374,2594,6843,1562, Utah,Box Elder
23591,2116,17272,6161,14324,6202,19735,7522,11339,4130, Utah,Cache
1906,37,2425,557,2489,441,4759,668,3409,573, Utah,Carbon
76,0,35,3,74,19,216,17,77,15, Utah,Daggett
31876,2025,49056,17646,50561,21483,68252,25171,33756,11828, Utah,Davis
1546,19,2702,318,2751,446,4032,628,2294,334, Utah,Duchesne
795,13,1067,188,1241,334,2343,287,1661,217, Utah,Emery
356,14,552,140,571,166,1236,319,1088,267, Utah,Garfield
700,39,1218,486,1851,460,2138,421,1704,612, Utah,Grand
7852,486,6742,1614,5884,2028,9598,2885,6425,2017, Utah,Iron
1053,29,1358,219,1539,193,2125,415,1321,185, Utah,Juab
396,13,973,358,781,301,1885,487,1686,445, Utah,Kane
978,37,1389,204,1492,352,2839,592,2148,472, Utah,Millard
1035,47,1094,379,1562,730,2486,989,1330,453, Utah,Morgan
113,0,144,13,237,80,460,73,459,97, Utah,Piute
225,0,288,67,191,49,475,107,505,113, Utah,Rich
107635,9672,187920,69828,164687,62169,242306,81791,119685,40396, Utah,Salt Lake
1520,53,1868,169,1712,435,3384,508,2100,547, Utah,San Juan
4487,35,3526,584,3891,879,6180,1117,4079,1118, Utah,Sanpete
1719,96,2413,448,2783,502,4616,883,3402,607, Utah,Sevier
3548,362,4529,2127,5470,2906,12495,7307,4854,2706, Utah,Summit
5939,226,8912,1861,10470,2918,13794,3380,5976,1331, Utah,Tooele
3135,79,5396,628,4994,916,6844,1095,3672,658, Utah,Uintah
101471,7274,86468,34954,76394,34008,90812,35863,45796,17383, Utah,Utah
2670,166,3712,1356,4608,2162,7174,2888,3505,1169, Utah,Wasatch
14796,452,19517,4173,18987,5644,33715,9475,34636,10688, Utah,Washington
173,0,252,116,291,75,682,114,552,110, Utah,Wayne
24195,998,38605,8786,34393,9232,53919,13585,28724,6497, Utah,Weber
5121,456,3663,1296,3933,1889,10749,3969,7075,2914, Vermont,Addison
3456,310,3472,1177,3410,1266,10555,3712,8048,3072, Vermont,Bennington
2742,154,3231,876,3353,1164,8920,2504,6052,1713, Vermont,Caledonia
26380,4786,22802,13499,18771,11269,41745,20000,23807,10212, Vermont,Chittenden
373,31,529,47,620,146,2017,344,1567,229, Vermont,Essex
3841,475,6116,1827,6196,1576,14361,3381,7643,1470, Vermont,Franklin
517,94,739,307,748,245,2383,975,1401,569, Vermont,Grand Isle
2372,87,3249,1224,3182,1156,7112,2502,4236,1910, Vermont,Lamoille
