,state,county,Donald Trump,Joe Biden,Others
343,Connecticut,Cheshire,7349.0,9745.0,324.0
344,Connecticut,Chester,853.0,1701.0,42.0
345,Connecticut,Clinton,3312.0,4368.0,124.0
346,Connecticut,Colchester,4243.0,5216.0,232.0
347,Connecticut,Colebrook,563.0,403.0,22.0
348,Connecticut,Columbia,1600.0,1888.0,80.0
349,Connecticut,Cornwall,250.0,760.0,22.0
350,Connecticut,Coventry,3545.0,4011.0,216.0
351,Connecticut,Cromwell,3749.0,4872.0,162.0
352,Connecticut,Danbury,12788.0,18869.0,364.0
353,Connecticut,Darien,4921.0,7876.0,221.0
354,Connecticut,Deep River,1076.0,1785.0,41.0
355,Connecticut,Derby,2749.0,2963.0,66.0
356,Connecticut,Durham,2330.0,2363.0,89.0
357,Connecticut,East Granby,1405.0,1789.0,70.0
358,Connecticut,East Haddam,2731.0,2980.0,114.0
359,Connecticut,East Hampton,3746.0,4051.0,191.0
360,Connecticut,East Hartford,5524.0,14787.0,296.0
361,Connecticut,East Haven,7572.0,6757.0,172.0
362,Connecticut,East Lyme,4285.0,7290.0,181.0
363,Connecticut,East Windsor,2541.0,3008.0,103.0
364,Connecticut,Eastford,572.0,464.0,31.0
365,Connecticut,Easton,2178.0,2777.0,68.0
366,Connecticut,Ellington,4515.0,4787.0,189.0
367,Connecticut,Enfield,9298.0,11263.0,368.0
368,Connecticut,Essex,1635.0,3011.0,69.0
369,Connecticut,Fairfield,12052.0,22861.0,501.0
370,Connecticut,Farmington,6160.0,9616.0,261.0
371,Connecticut,Franklin,674.0,553.0,34.0
372,Connecticut,Glastonbury,7998.0,13990.0,386.0
373,Connecticut,Goshen,1161.0,902.0,37.0
374,Connecticut,Granby,3166.0,4029.0,178.0
375,Connecticut,Greenwich,13269.0,22243.0,600.0
376,Connecticut,Griswold,3257.0,2565.0,159.0
377,Connecticut,Groton,6272.0,10699.0,418.0
378,Connecticut,Guilford,5050.0,9616.0,201.0
379,Connecticut,Haddam,2693.0,2728.0,96.0
380,Connecticut,Hamden,7139.0,21652.0,313.0
381,Connecticut,Hampton,551.0,572.0,16.0
382,Connecticut,Hartford,4116.0,28301.0,270.0
383,Connecticut,Hartland,818.0,457.0,17.0
384,Connecticut,Harwinton,2229.0,1397.0,75.0
385,Connecticut,Hebron,2731.0,3388.0,147.0
386,Connecticut,Kent,568.0,1277.0,20.0
387,Connecticut,Killingly,4678.0,3402.0,203.0
388,Connecticut,Killingworth,1979.0,2343.0,65.0
389,Connecticut,Lebanon,2268.0,2052.0,118.0
390,Connecticut,Ledyard,3664.0,4534.0,229.0
391,Connecticut,Lisbon,1331.0,1099.0,60.0
392,Connecticut,Litchfield,2555.0,2673.0,114.0
393,Connecticut,Lyme,576.0,1165.0,31.0
394,Connecticut,Madison,4638.0,7625.0,174.0
395,Connecticut,Manchester,8530.0,19455.0,481.0
396,Connecticut,Mansfield,1708.0,5608.0,169.0
397,Connecticut,Marlborough,1861.0,2119.0,82.0
398,Connecticut,Meriden,9981.0,14955.0,390.0
399,Connecticut,Middlebury,2741.0,2259.0,78.0
400,Connecticut,Middlefield,1356.0,1442.0,55.0
401,Connecticut,Middletown,7611.0,15508.0,390.0
402,Connecticut,Milford,13997.0,17626.0,439.0
403,Connecticut,Monroe,5989.0,5838.0,175.0
404,Connecticut,Montville,4242.0,4406.0,225.0
405,Connecticut,Morris,874.0,653.0,34.0
406,Connecticut,Naugatuck,7740.0,6923.0,241.0
407,Connecticut,New Britain,7724.0,16031.0,316.0
408,Connecticut,New Canaan,4855.0,7298.0,212.0
409,Connecticut,New Fairfield,4343.0,4101.0,114.0
410,Connecticut,New Hartford,2382.0,2089.0,106.0
411,Connecticut,New Haven,6146.0,35521.0,435.0
